days elong signed k diam dist
47.5108 20.38126 -20.38126 0.769339 5.7672 1.166554
47.7039 20.24748 -20.24748 0.771918 5.7549 1.169041
47.8971 20.11258 -20.11258 0.774501 5.7427 1.171520
48.0902 19.97657 -19.97657 0.777090 5.7306 1.173991
48.2833 19.83945 -19.83945 0.779683 5.7186 1.176453
48.4765 19.70121 -19.70121 0.782281 5.7067 1.178906
48.6696 19.56186 -19.56186 0.784883 5.6949 1.181351
48.8627 19.42139 -19.42139 0.787491 5.6832 1.183786
49.0559 19.27980 -19.27980 0.790103 5.6716 1.186212
49.2490 19.13710 -19.13710 0.792720 5.6600 1.188629
49.4421 18.99328 -18.99328 0.795341 5.6486 1.191036
49.6353 18.84834 -18.84834 0.797968 5.6373 1.193433
49.8284 18.70228 -18.70228 0.800599 5.6260 1.195820
50.0215 18.55510 -18.55510 0.803234 5.6149 1.198196
50.2147 18.40680 -18.40680 0.805875 5.6038 1.200562
50.4078 18.25738 -18.25738 0.808519 5.5928 1.202917
50.6009 18.10683 -18.10683 0.811168 5.5819 1.205261
50.7941 17.95516 -17.95516 0.813822 5.5712 1.207594
50.9872 17.80237 -17.80237 0.816479 5.5605 1.209915
51.1803 17.64845 -17.64845 0.819141 5.5499 1.212225
51.3735 17.49340 -17.49340 0.821807 5.5394 1.214522
51.5666 17.33723 -17.33723 0.824476 5.5290 1.216807
51.7597 17.17993 -17.17993 0.827149 5.5187 1.219079
51.9529 17.02150 -17.02150 0.829826 5.5085 1.221339
52.1460 16.86193 -16.86193 0.832506 5.4983 1.223585
52.3391 16.70124 -16.70124 0.835189 5.4883 1.225818
52.5323 16.53942 -16.53942 0.837875 5.4784 1.228037
52.7254 16.37647 -16.37647 0.840563 5.4686 1.230241
52.9185 16.21238 -16.21238 0.843254 5.4589 1.232432
53.1117 16.04716 -16.04716 0.845947 5.4493 1.234608
53.3048 15.88081 -15.88081 0.848642 5.4397 1.236769
53.4979 15.71332 -15.71332 0.851338 5.4303 1.238914
53.6911 15.54470 -15.54470 0.854036 5.4210 1.241044
53.8842 15.37494 -15.37494 0.856734 5.4118 1.243157
54.0773 15.20405 -15.20405 0.859433 5.4027 1.245255
54.2705 15.03202 -15.03202 0.862132 5.3937 1.247335
54.4636 14.85886 -14.85886 0.864831 5.3847 1.249399
54.6567 14.68456 -14.68456 0.867529 5.3759 1.251445
54.8499 14.50913 -14.50913 0.870226 5.3672 1.253473
55.0430 14.33256 -14.33256 0.872921 5.3586 1.255483
55.2361 14.15486 -14.15486 0.875615 5.3502 1.257474
55.4293 13.97602 -13.97602 0.878305 5.3418 1.259446
55.6224 13.79605 -13.79605 0.880993 5.3335 1.261399
55.8155 13.61495 -13.61495 0.883677 5.3254 1.263332
56.0087 13.43272 -13.43272 0.886356 5.3173 1.265245
56.2018 13.24936 -13.24936 0.889031 5.3094 1.267137
56.3949 13.06487 -13.06487 0.891700 5.3015 1.269007
56.5881 12.87925 -12.87925 0.894363 5.2938 1.270857
56.7812 12.69251 -12.69251 0.897018 5.2862 1.272684
56.9743 12.50464 -12.50464 0.899667 5.2787 1.274489
57.1675 12.31565 -12.31565 0.902306 5.2714 1.276271
57.3606 12.12555 -12.12555 0.904937 5.2641 1.278029
57.5537 11.93433 -11.93433 0.907558 5.2570 1.279764
57.7469 11.74199 -11.74199 0.910167 5.2500 1.281474
57.9400 11.54855 -11.54855 0.912765 5.2431 1.283159
58.1331 11.35399 -11.35399 0.915351 5.2363 1.284820
58.3263 11.15834 -11.15834 0.917922 5.2296 1.286454
58.5194 10.96158 -10.96158 0.920480 5.2231 1.288062
58.7125 10.76374 -10.76374 0.923021 5.2167 1.289643
58.9057 10.56480 -10.56480 0.925547 5.2104 1.291196
59.0988 10.36477 -10.36477 0.928054 5.2043 1.292722
59.2919 10.16367 -10.16367 0.930543 5.1983 1.294219
59.4851 9.96149 -9.96149 0.933012 5.1924 1.295688
59.6782 9.75825 -9.75825 0.935460 5.1866 1.297127
59.8713 9.55394 -9.55394 0.937885 5.1810 1.298535
60.0645 9.34858 -9.34858 0.940288 5.1755 1.299913
60.2576 9.14217 -9.14217 0.942665 5.1701 1.301260
60.4507 8.93472 -8.93472 0.945017 5.1649 1.302576
60.6439 8.72623 -8.72623 0.947341 5.1598 1.303859
60.8370 8.51673 -8.51673 0.949636 5.1549 1.305109
61.0301 8.30621 -8.30621 0.951902 5.1501 1.306325
61.2233 8.09468 -8.09468 0.954136 5.1454 1.307508
61.4164 7.88216 -7.88216 0.956337 5.1409 1.308656
61.6095 7.66865 -7.66865 0.958503 5.1365 1.309769
61.8027 7.45417 -7.45417 0.960634 5.1323 1.310846
61.9958 7.23873 -7.23873 0.962727 5.1283 1.311887
62.1889 7.02234 -7.02234 0.964781 5.1243 1.312891
62.3821 6.80501 -6.80501 0.966795 5.1206 1.313857
62.5752 6.58675 -6.58675 0.968766 5.1169 1.314786
62.7683 6.36758 -6.36758 0.970694 5.1135 1.315675
62.9615 6.14752 -6.14752 0.972576 5.1102 1.316526
63.1546 5.92657 -5.92657 0.974411 5.1070 1.317337
63.3477 5.70476 -5.70476 0.976197 5.1041 1.318107
63.5409 5.48209 -5.48209 0.977933 5.1012 1.318836
63.7340 5.25860 -5.25860 0.979616 5.0986 1.319524
63.9271 5.03429 -5.03429 0.981246 5.0961 1.320170
64.1203 4.80918 -4.80918 0.982819 5.0938 1.320773
64.3134 4.58329 -4.58329 0.984335 5.0916 1.321332
64.5065 4.35665 -4.35665 0.985792 5.0896 1.321849
64.6997 4.12927 -4.12927 0.987188 5.0878 1.322320
64.8928 3.90117 -3.90117 0.988522 5.0862 1.322747
65.0859 3.67239 -3.67239 0.989791 5.0847 1.323129
65.2791 3.44294 -3.44294 0.990993 5.0834 1.323464
65.4722 3.21286 -3.21286 0.992128 5.0823 1.323754
65.6653 2.98216 -2.98216 0.993194 5.0814 1.323996
65.8585 2.75089 -2.75089 0.994188 5.0806 1.324191
66.0516 2.51908 -2.51908 0.995109 5.0800 1.324338
66.2447 2.28677 -2.28677 0.995955 5.0797 1.324437
66.4379 2.05401 -2.05401 0.996725 5.0795 1.324487
66.6310 1.82087 -1.82087 0.997418 5.0795 1.324488
66.8241 1.58743 -1.58743 0.998031 5.0797 1.324440
67.0173 1.35383 -1.35383 0.998563 5.0800 1.324341
67.2104 1.12030 -1.12030 0.999013 5.0806 1.324192
